Indicator,Country,Date,value
Cumulative number of probable Ebola deaths,United States of America,2015-03-05,0
Cumulative number of suspected Ebola deaths,United States of America,2015-03-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-05,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-04,0
Cumulative number of probable Ebola cases,United Kingdom,2015-03-04,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-03-04,0
Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-04,1
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-04,1
Cumulative number of confirmed Ebola cases,Mali,2015-03-04,7
Cumulative number of probable Ebola cases,Mali,2015-03-04,1
Cumulative number of suspected Ebola cases,Mali,2015-03-04,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-04,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-04,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-03-04,19
Cumulative number of probable Ebola cases,Nigeria,2015-03-04,1
Cumulative number of suspected Ebola cases,Nigeria,2015-03-04,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-04,20
Cumulative number of confirmed Ebola cases,Senegal,2015-03-04,1
Cumulative number of probable Ebola cases,Senegal,2015-03-04,0
Cumulative number of suspected Ebola cases,Senegal,2015-03-04,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-04,1
Cumulative number of confirmed Ebola cases,Spain,2015-03-04,1
Cumulative number of probable Ebola cases,Spain,2015-03-04,0
Cumulative number of suspected Ebola cases,Spain,2015-03-04,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-04,1
Cumulative number of confirmed Ebola cases,United States of America,2015-03-04,4
Cumulative number of probable Ebola cases,United States of America,2015-03-04,0
Cumulative number of suspected Ebola cases,United States of America,2015-03-04,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-04,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-04,7
Cumulative number of probable Ebola deaths,Nigeria,2015-03-04,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-03-04,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-04,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-03-04,0
Cumulative number of probable Ebola deaths,Senegal,2015-03-04,0
Cumulative number of suspected Ebola deaths,Senegal,2015-03-04,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-04,0
Cumulative number of confirmed Ebola deaths,Spain,2015-03-04,0
Cumulative number of probable Ebola deaths,Spain,2015-03-04,0
Cumulative number of suspected Ebola deaths,Spain,2015-03-04,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-04,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-03-04,1
Cumulative number of probable Ebola deaths,United States of America,2015-03-04,0
Cumulative number of suspected Ebola deaths,United States of America,2015-03-04,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-04,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-04,3205
Cumulative number of confirmed Ebola cases,Guinea,2015-03-04,2808
Cumulative number of probable Ebola cases,Guinea,2015-03-04,392
Cumulative number of suspected Ebola cases,Guinea,2015-03-04,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-04,2127
Cumulative number of confirmed Ebola deaths,Guinea,2015-03-04,1735
Cumulative number of probable Ebola deaths,Guinea,2015-03-04,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-04,9265
Cumulative number of confirmed Ebola cases,Liberia,2015-03-04,3153
Cumulative number of probable Ebola cases,Liberia,2015-03-04,1888
Cumulative number of suspected Ebola cases,Liberia,2015-03-04,4224
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-04,4057
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-04,11443
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-04,8353
Cumulative number of probable Ebola cases,Sierra Leone,2015-03-04,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-04,2803
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-04,3530
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-04,3164
Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-04,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-04,158
Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-02,1
Cumulative number of probable Ebola cases,United Kingdom,2015-03-02,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-03-02,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-02,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-02,3205
Cumulative number of confirmed Ebola cases,Guinea,2015-03-02,2808
